City,Area,Population,Daily_Demand_MLD,Potable_Available_MLD,NonPotable_Available_MLD,Recycled_Usage_MLD,Rainwater_Harvest_MLD,Groundwater_Level_m,Energy_Consumption_kWh,Water_Loss_%,
Hyderabad,Secunderabad,180000,22.5,18.2,3.5,1.8,0.9,18.2,14500,9.2,
Hyderabad,Somajiguda,95000,12,9.4,2.1,0.8,0.4,16.5,8700,8.1,
Hyderabad,Himayatnagar,105000,13.8,10.9,2.6,1,0.5,17,9100,7.8,
Hyderabad,Koti,78000,10.1,8.1,1.9,0.7,0.3,15.8,7200,7.5,
Hyderabad,Abids,92000,11.4,9,2,0.9,0.4,16.3,7600,8,
Hyderabad,Mehdipatnam,160000,19.6,15.8,3.4,1.7,0.8,19,13300,9.5,
Hyderabad,Tolichowki,135000,17,13.6,2.9,1.2,0.6,18.5,11800,9,
Hyderabad,Lakdikapul,85000,11.2,8.9,2,0.8,0.4,17.2,7500,7.7,
Hyderabad,Panjagutta,98000,12.7,10.1,2.2,0.9,0.5,16.8,8100,8.2,
Hyderabad,Chikkadpally,87000,11.5,9,2.1,0.8,0.4,15.9,7700,7.9,
Hyderabad,Nallakunta,76000,9.8,7.7,1.7,0.6,0.3,16,6900,7.4,
Hyderabad,Vidyanagar,95000,12,9.5,2,0.7,0.4,17.1,8100,8,
Hyderabad,Musheerabad,120000,14.6,11.7,2.6,1,0.5,18,9800,8.6,
Hyderabad,Amberpet,145000,18,14.6,3.1,1.3,0.6,19.2,11500,9.1,
Hyderabad,Ramnagar,88000,11.3,9,2.1,0.8,0.4,17,7600,7.9,
Hyderabad,Moosarambagh,102000,13.1,10.6,2.2,0.9,0.4,18.3,8800,8.3,
Hyderabad,Dilsukhnagar,175000,21.8,17.5,3.8,1.6,0.7,20,14200,9.7,
Hyderabad,Saidabad,125000,15.9,12.7,2.8,1.2,0.5,19.1,10400,8.8,
Hyderabad,Malakpet,130000,16.5,13.2,2.9,1.3,0.6,18.7,10700,9,
Hyderabad,Santoshnagar,115000,14.7,11.6,2.6,1,0.5,18.5,9700,8.6,
Hyderabad,Champapet,100000,12.8,10.2,2.2,0.9,0.4,17.8,8600,8.2,
Hyderabad,Saroor Nagar,118000,15,12.1,2.5,1.1,0.5,18.9,9900,8.7,
Hyderabad,L B Nagar,140000,17.8,14.2,3.1,1.4,0.6,20.1,11800,9.3,
Hyderabad,Hayathnagar,95000,12.3,9.8,2,0.8,0.4,19.5,8100,8.1,
Hyderabad,Vanastalipuram,112000,14.2,11.3,2.5,1,0.5,18.7,9400,8.5,
Hyderabad,Hastinapuram,89000,11.6,9.2,2,0.7,0.4,17.9,7800,7.9,
Hyderabad,Chaitanyapuri,93000,12,9.6,2.1,0.8,0.4,17.4,8100,8,
Hyderabad,Kothapet,98000,12.7,10.1,2.2,0.9,0.5,18.1,8500,8.2,
Hyderabad,Nagole,120000,15.4,12.3,2.8,1.1,0.6,19.3,10100,8.8,
Hyderabad,Uppal,150000,19.5,15.7,3.4,1.5,0.7,20.5,12500,9.4,
Hyderabad,Habsiguda,96000,12.5,10,2.1,0.8,0.4,18.2,8200,8.1,
Hyderabad,Tarnaka,108000,13.9,11.2,2.4,1,0.5,18.7,9000,8.4,
Hyderabad,Nacharam,112000,14.3,11.5,2.5,1.1,0.5,19,9300,8.6,
Hyderabad,Malkajgiri,170000,22,17.6,3.8,1.7,0.8,21,14000,9.8,
Hyderabad,AS Rao Nagar,99000,12.8,10.2,2.3,0.9,0.4,18.6,8600,8.2,
Hyderabad,Safilguda,87000,11.2,8.9,2,0.8,0.4,17.5,7500,7.7,
Hyderabad,Alwal,130000,16.9,13.4,2.9,1.3,0.6,19.8,11200,9,
Hyderabad,Bolarum,90000,11.9,9.5,2.1,0.8,0.4,18,7800,8,
Hyderabad,Kompally,120000,15.8,12.6,2.7,1.2,0.6,19.2,10300,8.8,
Hyderabad,Suchitra,110000,14.4,11.5,2.5,1,0.5,18.7,9600,8.6,
Hyderabad,Kukatpally,180000,23,18.3,4,1.8,0.8,21.5,15000,9.9,
Hyderabad,Miyapur,150000,19.4,15.6,3.3,1.5,0.7,20.7,12600,9.4,
Hyderabad,Chandanagar,140000,18,14.5,3,1.4,0.6,19.9,11800,9.2,
Hyderabad,Patancheru,135000,17.4,14,3.1,1.3,0.6,20.3,11500,9,
Hyderabad,BHEL Township,95000,12.2,9.8,2,0.8,0.4,18.4,8200,8.1,
Hyderabad,RC Puram,105000,13.5,10.9,2.3,0.9,0.5,19.1,8900,8.4,
Hyderabad,Lingampally,99000,12.7,10.2,2.2,0.9,0.5,18.8,8600,8.2,
Hyderabad,Nallagandla,88000,11.3,9,2,0.7,0.4,18.5,7800,7.9,
Hyderabad,Serilingampally,145000,18.5,14.9,3.2,1.4,0.6,20.1,12000,9.1,
Mumbai,Andheri,250000,180,140,30,15,5,12.3,2200,18,
Mumbai,Bandra,300000,210,160,35,20,8,11.5,2400,20,
Mumbai,Worli,150000,120,95,18,10,4,10.2,1800,15,
Mumbai,Dadar,200000,160,120,25,12,6,13.1,2000,19,
Mumbai,Colaba,100000,80,65,12,8,3,9.8,1500,17,
Mumbai,Borivali,400000,280,210,45,25,10,14.5,2700,21,
Mumbai,Malad,350000,260,200,40,22,9,12.8,2600,22,
Mumbai,Kurla,320000,240,180,38,18,7,11.7,2500,20,
Mumbai,Chembur,280000,200,160,32,15,6,12,2300,19,
Mumbai,Powai,220000,170,130,28,14,5,10.9,2100,18,
Mumbai,Ghatkopar,310000,230,175,34,17,7,13,2400,21,
Mumbai,Vikhroli,270000,190,150,29,16,6,12.6,2200,20,
Mumbai,Mulund,260000,200,160,31,14,5,11.9,2150,18,
Mumbai,Kandivali,330000,250,195,37,19,8,13.2,2500,22,
Mumbai,Jogeshwari,210000,170,130,27,13,5,11.4,2050,19,
Mumbai,Churchgate,120000,90,70,14,8,3,10,1600,16,
Mumbai,Marine Lines,130000,95,75,15,9,4,9.9,1650,17,
Mumbai,Charni Road,110000,85,65,12,7,3,10.1,1550,16,
Mumbai,Grant Road,140000,105,80,18,9,4,10.4,1700,18,
Mumbai,Mahalaxmi,160000,120,95,20,10,5,11.2,1800,19,
Mumbai,Lower Parel,180000,140,110,23,12,6,12.5,1950,20,
Mumbai,Byculla,190000,150,115,24,11,5,11.9,2000,19,
Mumbai,Sion,240000,180,140,30,15,6,12.8,2100,20,
Mumbai,Matunga,170000,130,100,21,10,4,11.3,1850,18,
Mumbai,Mazgaon,150000,115,90,18,9,4,10.7,1700,17,
Mumbai,Fort,160000,125,95,19,10,4,10.5,1750,18,
Mumbai,Cuffe Parade,100000,85,65,13,7,3,9.6,1500,16,
Mumbai,Tardeo,140000,110,85,16,9,4,11.1,1650,18,
Mumbai,Malabar Hill,120000,100,75,15,8,3,10.2,1600,17,
Mumbai,Breach Candy,110000,90,70,13,7,3,10,1550,16,
Mumbai,Wadala,230000,170,135,27,12,6,11.8,2050,19,
Mumbai,Sewri,200000,150,115,24,11,5,11.5,1950,18,
Mumbai,Antop Hill,180000,140,110,22,10,4,12.1,1850,19,
Mumbai,Parel,210000,160,125,26,13,5,12.4,2000,20,
Mumbai,Dharavi,300000,220,165,34,16,7,13.5,2400,22,
Mumbai,Mahal,250000,190,145,29,14,6,12.7,2150,20,
Mumbai,Chinchpokli,170000,130,100,20,10,4,11.3,1850,18,
Mumbai,Sandhurst Road,160000,120,95,19,9,4,10.9,1750,17,
Mumbai,Bhandup,280000,210,165,32,15,6,12.9,2250,21,
Mumbai,Vile Parle,260000,200,155,30,14,5,12.2,2200,20,
Mumbai,Santacruz,300000,230,180,35,17,7,13,2350,21,
Mumbai,Khar,240000,180,140,28,13,5,11.8,2100,19,
Mumbai,Versova,220000,170,130,26,12,5,12.1,2050,19,
Mumbai,Gorai,150000,110,85,17,8,3,10.8,1700,17,
Mumbai,Madh Island,120000,90,70,14,7,3,9.7,1550,16,
Mumbai,Mankhurd,200000,150,115,23,11,4,11.5,1900,18,
Mumbai,Trombay,180000,135,105,21,10,4,11.2,1800,18,
Mumbai,Vasai,350000,260,200,40,18,8,13.4,2500,22,
Mumbai,Virar,360000,270,210,42,20,9,13.7,2550,23,
Chennai,T.Nagar,180000,220,160,40,10,5,12.4,3200,18,
Chennai,Adyar,150000,200,140,35,8,6,10.8,2800,20,
Chennai,Velachery,210000,260,190,45,12,7,11.2,3500,22,
Chennai,Anna Nagar,230000,280,200,50,15,9,13.1,3700,19,
Chennai,Mylapore,175000,210,150,40,10,5,9.7,2900,21,
Chennai,Chromepet,160000,190,130,35,9,6,14.2,2600,23,
Chennai,Guindy,145000,180,125,30,7,5,11.5,2500,18,
Chennai,Porur,195000,240,170,50,14,8,15.6,3400,25,
Chennai,Ambattur,220000,270,190,55,16,9,16.1,3600,24,
Chennai,Mogappair,185000,220,160,40,11,7,12.7,3100,20,
Chennai,Thiruvanmiyur,170000,200,145,35,9,6,10.3,2800,19,
Chennai,Sholinganallur,250000,300,210,60,18,10,17.4,4000,26,
Chennai,Pallavaram,160000,190,135,30,8,5,14.9,2700,22,
Chennai,Perungudi,155000,185,130,35,9,6,13.2,2600,20,
Chennai,Kilpauk,140000,170,120,28,7,5,9.1,2400,18,
Chennai,Nungambakkam,175000,210,155,40,11,6,10.6,3000,19,
Chennai,Egmore,165000,200,145,38,9,6,11.4,2900,21,
Chennai,Washermanpet,200000,240,170,50,13,8,16.8,3300,24,
Chennai,Parrys,155000,185,130,32,8,6,9.8,2600,20,
Chennai,Alandur,180000,220,160,42,12,7,12.9,3100,22,
Chennai,Avadi,240000,290,210,60,18,10,18.5,3900,26,
Chennai,Medavakkam,170000,200,145,35,10,6,15.1,2800,23,
Chennai,Velachery East,190000,230,165,45,13,7,14.4,3200,21,
Chennai,Velachery West,185000,225,160,40,12,7,13.7,3100,22,
Chennai,Thirumangalam,175000,210,150,38,11,6,11.9,3000,20,
Chennai,Ennore,150000,190,130,35,8,5,17.2,2700,25,
Chennai,Manali,160000,200,140,38,9,6,18.4,2800,27,
Chennai,Perambur,195000,230,165,42,12,7,14,3200,23,
Chennai,Kodambakkam,170000,205,150,37,10,6,10.2,2900,19,
Chennai,Arumbakkam,160000,195,140,35,9,5,11.6,2800,20,
Chennai,Purasawalkam,150000,185,135,30,8,5,9.4,2700,19,
Chennai,Triplicane,140000,170,120,28,7,5,8.9,2500,18,
Chennai,Tambaram,220000,260,190,55,15,8,16.3,3600,24,
Chennai,Selaiyur,175000,210,150,38,11,6,15.8,3000,23,
Chennai,Kotturpuram,160000,190,135,32,9,6,10.7,2700,20,
Chennai,Guindy Industrial,200000,240,175,50,14,8,17.6,3400,25,
Chennai,Meenambakkam,155000,185,130,30,9,6,14.5,2600,21,
Chennai,Kolathur,180000,220,160,42,12,7,12.8,3100,22,
Chennai,Pallikaranai,190000,230,170,45,13,7,16,3300,24,
Chennai,Perungalathur,165000,200,145,35,9,6,15.2,2800,23,
Chennai,Vadapalani,170000,205,150,37,10,6,11.1,2900,20,
Chennai,Saidapet,160000,190,135,32,9,6,9.9,2700,19,
Chennai,Thiruvottiyur,210000,250,180,55,15,9,18.1,3700,27,
Chennai,Red Hills,180000,215,155,40,11,7,17.3,3100,24,
Chennai,Mandaveli,150000,185,130,32,8,5,9.5,2600,19,
Chennai,Egattur,175000,210,150,38,11,6,16.6,3000,23,
Chennai,Sembakkam,160000,195,140,34,9,6,14.1,2800,22,
Chennai,Choolaimedu,170000,205,150,37,10,6,11.2,2900,20,
Chennai,Shenoy Nagar,155000,185,135,32,8,5,10,2700,19,
Chennai,Kottivakkam,165000,200,145,35,9,6,15,2800,23,
Kolkata,Howrah,850000,170,130,90,25,10,5.2,4500,18,
Kolkata,Park Street,120000,45,30,15,8,5,7,1200,15,
Kolkata,Salt Lake,400000,95,70,30,12,9,6.1,3100,20,
Kolkata,Ballygunge,300000,80,55,25,10,7,5.5,2500,17,
Kolkata,Tollygunge,350000,75,50,22,9,6,6,2300,19,
Kolkata,Garia,500000,100,65,40,15,8,6.4,3600,21,
Kolkata,Dum Dum,600000,130,95,55,18,12,5.9,4200,22,
Kolkata,Lake Town,150000,40,25,12,5,4,7.3,1100,16,
Kolkata,Behala,550000,115,80,45,16,10,6.2,3700,20,
Kolkata,New Alipore,200000,55,35,20,7,5,6.7,1600,18,
Kolkata,Shyambazar,250000,60,40,22,8,6,6.3,1800,19,
Kolkata,Esplanade,100000,35,25,10,4,3,7.5,1000,15,
Kolkata,Kalighat,220000,50,32,18,6,4,6.8,1500,17,
Kolkata,Rajarhat,700000,140,95,60,20,15,5.6,4900,23,
Kolkata,New Town,800000,160,110,65,22,18,5.4,5200,24,
Kolkata,Chowringhee,180000,48,30,15,6,4,7.1,1400,18,
Kolkata,Burrabazar,400000,95,65,35,12,8,6.5,3100,21,
Kolkata,Sealdah,300000,85,55,28,10,7,6.6,2700,20,
Kolkata,Kankurgachi,150000,42,28,14,5,4,7,1200,17,
Kolkata,Kasba,280000,70,45,25,9,6,6.4,2200,19,
Kolkata,Baranagar,450000,105,70,40,14,9,6,3500,20,
Kolkata,Baghbazar,170000,44,30,15,5,4,7.2,1300,18,
Kolkata,Maniktala,200000,52,35,18,6,5,6.8,1500,19,
Kolkata,Cossipore,230000,58,40,20,7,5,6.7,1700,20,
Kolkata,Shobhabazar,260000,62,42,22,8,6,6.5,1900,20,
Kolkata,Ultadanga,350000,88,60,30,11,8,6.1,3000,21,
Kolkata,Jadavpur,480000,115,80,45,16,12,5.9,4000,22,
Kolkata,Khidirpur,320000,75,50,28,9,7,6.3,2500,19,
Kolkata,Sonarpur,500000,120,85,50,18,14,5.7,4300,23,
Kolkata,Baruipur,420000,95,65,38,12,10,6.2,3300,20,
Kolkata,Southern Avenue,160000,46,30,15,6,5,7.1,1400,18,
Kolkata,Prince Anwar Shah Road,210000,55,38,20,7,5,6.9,1600,19,
Kolkata,Kalikapur,270000,68,45,25,9,6,6.5,2100,20,
Kolkata,Garfa,200000,52,35,18,6,5,6.8,1600,19,
Kolkata,Santoshpur,280000,70,48,28,10,7,6.4,2300,20,
Kolkata,Patuli,300000,78,52,30,11,8,6.2,2500,21,
Kolkata,Rashbehari Avenue,180000,48,32,16,6,4,7,1500,18,
Kolkata,Golf Green,220000,58,40,22,8,6,6.6,1800,19,
Kolkata,Naktala,260000,65,45,25,9,7,6.5,2100,20,
Kolkata,Bansdroni,310000,80,55,32,11,8,6.3,2700,21,
Kolkata,Netaji Nagar,340000,85,60,35,12,9,6.1,2900,22,
Kolkata,Regent Park,190000,50,35,18,6,5,6.9,1600,18,
Kolkata,Haridevpur,230000,60,42,22,7,5,6.7,1900,19,
Kolkata,Ajaynagar,280000,70,48,26,9,7,6.4,2300,20,
Kolkata,Maheshtala,450000,105,72,40,14,10,6,3500,22,
Kolkata,Batanagar,200000,52,36,18,6,4,6.8,1600,19,
Kolkata,Garden Reach,370000,90,62,35,12,8,6.2,3100,21,
Kolkata,Minto Park,150000,42,28,14,5,4,7.2,1200,18,
Kolkata,Kalindi,250000,60,40,20,7,5,6.7,1800,19,
Kolkata,Bidhan Nagar,400000,95,68,38,12,9,6.3,3200,21,
Delhi,Connaught Place,120000,50,40,8,5,3,35,2200,12,
Delhi,Karol Bagh,250000,90,70,15,10,4,32,3800,15,
Delhi,Lajpat Nagar,300000,110,85,20,12,6,30,4200,14,
Delhi,Saket,200000,80,65,12,8,5,28,3100,13,
Delhi,Malviya Nagar,180000,70,55,10,7,4,27,2900,12,
Delhi,Hauz Khas,150000,65,50,9,6,3,26,2600,11,
Delhi,Defence Colony,140000,60,48,8,5,4,25,2500,10,
Delhi,Vasant Kunj,220000,95,75,14,10,6,29,4000,13,
Delhi,Rajouri Garden,190000,75,58,11,8,4,28,3000,12,
Delhi,Janakpuri,210000,85,68,12,9,5,30,3300,14,
Delhi,Dwarka,350000,140,110,20,15,8,32,5500,16,
Delhi,Rohini,400000,160,125,25,18,10,34,6000,17,
Delhi,Shalimar Bagh,230000,95,72,14,10,6,29,3900,13,
Delhi,Pitampura,280000,115,88,18,12,7,31,4700,14,
Delhi,Model Town,170000,70,55,10,7,4,27,2800,12,
Delhi,Kashmiri Gate,160000,65,52,9,6,3,26,2600,11,
Delhi,Chandni Chowk,300000,120,90,20,14,7,28,5000,18,
Delhi,Daryaganj,150000,65,50,9,6,3,27,2600,12,
Delhi,Okhla,280000,110,85,18,12,6,29,4300,15,
Delhi,Greater Kailash,200000,80,65,12,9,5,28,3200,13,
Delhi,Nehru Place,180000,75,60,11,8,4,27,3000,12,
Delhi,Sarita Vihar,160000,68,54,10,7,3,26,2700,11,
Delhi,Munirka,140000,58,46,8,6,3,25,2400,10,
Delhi,Green Park,130000,55,44,7,5,2,25,2200,10,
Delhi,Mehrauli,200000,82,66,13,9,5,28,3300,13,
Delhi,Nangloi,260000,100,78,16,11,6,30,3900,14,
Delhi,Palam,210000,85,67,13,9,5,28,3300,13,
Delhi,Karampura,150000,62,50,8,6,3,26,2500,11,
Delhi,Kalkaji,220000,92,72,14,10,5,29,3700,14,
Delhi,Bhajanpura,240000,98,76,15,11,6,30,3900,15,
Delhi,Seelampur,280000,115,88,17,12,6,31,4400,16,
Delhi,Shahdara,300000,120,92,18,13,7,32,4600,16,
Delhi,Vivek Vihar,190000,78,62,11,8,4,28,3100,13,
Delhi,Laxmi Nagar,230000,95,74,13,9,5,29,3500,14,
Delhi,Preet Vihar,200000,85,68,12,8,4,28,3200,13,
Delhi,Patparganj,250000,105,82,16,11,6,30,3900,15,
Delhi,Mayur Vihar,220000,90,70,13,9,5,28,3400,14,
Delhi,Kalyanpuri,180000,72,57,10,7,3,27,2800,12,
Delhi,Anand Vihar,210000,88,68,12,9,5,28,3300,13,
Delhi,Trilokpuri,200000,82,64,11,8,4,27,3100,13,
Delhi,Krishna Nagar,190000,78,60,10,7,4,27,2900,12,
Delhi,Geeta Colony,170000,70,54,9,7,3,26,2700,12,
Delhi,Shastri Park,160000,65,50,8,6,3,25,2500,11,
Delhi,Azadpur,200000,85,66,12,8,4,28,3200,13,
Delhi,Jahangirpuri,230000,100,78,15,11,6,30,3800,14,
Delhi,Burari,250000,110,85,16,12,6,31,4200,15,
Delhi,Narela,260000,115,88,17,12,6,31,4300,16,
Delhi,Bawana,240000,105,80,15,11,5,30,3900,15,
Delhi,Mukherjee Nagar,220000,95,74,14,9,5,29,3500,14,
